25,9.12
ExampleSphere_Upper\UPyPlotExampleSender\xVar,ExampleSphere_Upper\UPyPlotExampleSender\zVar,ExampleSphere_Upper\UPyPlotExampleSender\yVar,ExampleSphere_Lower\UPyPlotExampleSender\xVar,ExampleSphere_Lower\UPyPlotExampleSender\zVar,ExampleSphere_Lower\UPyPlotExampleSender\yVar
5.06,-0.90,2.50,4.56,-0.10,-2.50
5.04,-0.86,2.50,4.57,-0.03,-2.50
5.03,-0.83,2.50,4.57,-0.09,-2.50
5.02,-0.80,2.50,4.63,0.03,-2.50
5.08,-0.85,2.50,4.65,-0.09,-2.50
5.07,-0.82,2.50,4.65,-0.01,-2.50
5.04,-0.66,2.50,4.66,0.00,-2.50
5.00,-0.64,2.50,4.69,0.01,-2.50
4.99,-0.61,2.50,4.69,0.01,-2.50
5.05,-0.51,2.50,4.73,-0.02,-2.50
5.04,-0.41,2.50,4.73,0.02,-2.50
5.16,-0.44,2.50,4.75,0.05,-2.50
5.18,-0.31,2.50,4.76,-0.10,-2.50
5.16,-0.25,2.50,4.84,-0.08,-2.50
5.17,-0.30,2.50,4.86,-0.15,-2.50
5.15,-0.23,2.50,4.88,-0.16,-2.50
5.16,-0.21,2.50,4.86,-0.10,-2.50
5.10,-0.19,2.50,4.86,-0.13,-2.50
5.14,-0.28,2.50,4.82,-0.15,-2.50
5.11,-0.17,2.50,4.85,-0.15,-2.50
5.09,-0.29,2.50,4.89,-0.10,-2.50
5.10,-0.25,2.50,4.89,-0.25,-2.50
5.05,-0.26,2.50,4.91,-0.15,-2.50
5.05,-0.25,2.50,4.93,-0.18,-2.50
5.09,-0.18,2.50,4.91,-0.14,-2.50
